outcome.test.score,treatment,school,is.female,mother.attended.secondary.school,father.attened.secondary.school,failed.at.least.one.school.year,family.receives.cash.transfer,has.computer.with.internet.at.home,is.unemployed,has.some.form.of.income,saves.money.for.future.purchases,intention.to.save.index,makes.list.of.expenses.every.month,negotiates.prices.or.payment.methods,fincial.autonomy.index
77.59341431,0,33039593,0,1,1,1,0,0,0,1,0,68,0,1,41
57.5712204,0,23169125,0,0,0,0,0,1,1,1,1,46,1,1,73
47.4151001,0,33033170,0,1,1,1,0,1,0,0,0,54,0,1,60
56.41740036,1,17025206,0,0,1,0,0,1,0,0,0,24,0,1,52
90.69275665,1,23072067,1,0,0,0,0,1,0,0,1,60,0,1,71
69.77870941,1,35012178,,,,,,,,,,26,,1,29
41.66449356,0,35045421,1,1,1,0,1,1,0,1,0,51,1,1,73
76.69458771,0,35008825,1,1,0,0,0,0,0,1,0,73,0,1,37
34.96663284,1,33063397,0,1,1,1,1,1,0,1,0,33,0,1,35
62.36597824,0,35006567,1,1,1,0,0,0,1,1,0,30,0,0,41
68.4223938,1,53008790,0,1,1,0,0,0,0,1,0,60,0,1,10
73.82061768,1,33099936,,,,,,,0,1,0,59,0,1,62
57.05569458,1,35914757,1,0,0,0,0,1,0,0,0,52,0,0,37
50.01633453,1,35011514,1,0,0,0,0,1,0,1,0,25,0,0,29
55.43164063,0,35012191,,,,,,,0,1,1,36,0,1,35
85.76159668,1,33053910,1,1,1,0,0,0,0,0,0,71,0,0,50
84.35146332,0,53003586,1,0,0,0,1,1,1,1,1,68,0,1,29
53.17472076,1,35012233,1,1,1,0,0,0,0,1,0,,0,1,
53.49770355,1,35019434,1,1,1,0,1,0,0,0,1,65,0,1,75
59.59358978,1,31068624,1,0,0,1,0,1,0,0,0,55,0,1,60
54.99517441,0,23024658,1,0,0,0,1,1,0,0,0,50,1,1,67
46.21899414,0,17005264,1,1,0,0,0,1,1,1,0,29,1,1,29
74.28639221,1,35019690,1,1,1,0,0,1,0,1,1,79,0,1,82
28.97496605,0,33085498,1,1,0,0,1,1,0,0,0,55,0,1,50
77.67795563,1,35008497,1,1,1,0,0,0,0,1,0,49,0,1,58
60.79945755,1,33027137,1,1,0,0,0,1,0,0,0,29,0,1,33
65.55319214,0,33090149,1,0,0,0,0,1,0,0,0,87,1,1,71
41.55292892,0,35001466,1,1,1,1,0,0,1,1,0,55,0,1,67
86.58090973,0,35012269,1,1,1,0,1,0,,,,,,,
60.06905746,1,53002610,1,1,1,0,0,0,1,1,0,48,0,1,
67.9190979,1,35901805,1,0,0,0,0,0,0,0,0,69,0,1,39
56.55900955,1,35012233,,,,,,,1,1,0,18,0,1,20
84.97371674,0,53007514,1,0,0,0,0,0,0,1,0,54,0,1,31
72.35612488,1,35045160,0,0,0,,,,1,1,1,57,1,1,62
